overall,name,pos,pos_rank,tier,team,bye,pts,ppg,vorp,adp,espn_sf_rank,injury
1,Jahmyr Gibbs,RB,1,1,DET,6,297.1,17.5,158.8,1.34,7,ACTIVE
2,Bijan Robinson,RB,2,2,ATL,11,277.0,16.3,138.7,2.38,8,ACTIVE
3,Josh Allen,QB,1,1,BUF,7,370.5,21.8,130.7,19.41,1,ACTIVE
4,Jonathan Taylor,RB,3,2,IND,13,265.9,15.6,127.6,6.31,17,ACTIVE
5,Christian McCaffrey,RB,4,2,SF,8,263.0,15.5,124.7,7.66,12,QUESTIONABLE
6,Derrick Henry,RB,5,2,BAL,13,256.4,15.1,118.1,16.76,39,ACTIVE
7,James Cook III,RB,6,2,BUF,7,244.4,14.4,106.1,10.36,25,ACTIVE
8,Puka Nacua,WR,1,1,LAR,11,230.5,13.6,109.6,5.27,10,QUESTIONABLE
9,Saquon Barkley,RB,7,3,PHI,10,230.1,13.5,91.8,14.09,38,ACTIVE
10,Ja'Marr Chase,WR,2,2,CIN,6,217.1,12.8,96.2,4.3,9,QUESTIONABLE
11,De'Von Achane,RB,8,3,MIA,6,229.0,13.5,90.7,12.13,20,ACTIVE
12,Jaxon Smith-Njigba,WR,3,2,SEA,11,210.0,12.4,89.1,6.21,11,ACTIVE
13,Amon-Ra St. Brown,WR,4,2,DET,6,206.1,12.1,85.2,8.35,18,ACTIVE
14,Javonte Williams,RB,10,3,DAL,14,222.6,13.1,84.3,33.15,57,ACTIVE
15,Lamar Jackson,QB,2,2,BAL,13,322.5,19.0,82.7,35.23,5,ACTIVE
16,Kenneth Walker III,RB,9,3,KC,5,224.8,13.2,86.5,25.0,41,QUESTIONABLE
17,Drake Maye,QB,3,2,NE,11,320.2,18.8,80.4,47.36,13,ACTIVE
18,Jalen Hurts,QB,4,2,PHI,10,319.8,18.8,80.0,54.45,15,ACTIVE
19,Breece Hall,RB,11,3,NYJ,13,222.2,13.1,83.9,35.86,56,QUESTIONABLE
20,Jayden Daniels,QB,5,2,WSH,7,317.5,18.7,77.7,52.9,3,ACTIVE
21,Ashton Jeanty,RB,12,3,LV,13,214.3,12.6,76.0,21.62,40,QUESTIONABLE
22,Omarion Hampton,RB,14,3,LAC,7,210.1,12.4,71.8,19.06,55,ACTIVE
23,Jeremiyah Love,RB,13,3,ARI,14,211.7,12.5,73.4,25.96,29,QUESTIONABLE
24,CeeDee Lamb,WR,5,3,DAL,14,190.1,11.2,69.2,11.78,19,ACTIVE
25,Chase Brown,RB,15,3,CIN,6,207.3,12.2,69.0,17.38,54,ACTIVE
26,Joe Burrow,QB,6,2,CIN,6,304.3,17.9,64.5,54.16,21,ACTIVE
27,Travis Etienne Jr.,RB,16,3,NO,8,201.5,11.9,63.2,41.51,60,ACTIVE
28,Justin Jefferson,WR,6,3,MIN,6,183.2,10.8,62.3,12.68,26,ACTIVE
29,Kyren Williams,RB,17,3,LAR,11,198.6,11.7,60.3,35.96,61,ACTIVE
30,Jaxson Dart,QB,7,2,NYG,8,299.5,17.6,59.7,83.01,23,ACTIVE
31,Quinshon Judkins,RB,18,3,CLE,11,194.6,11.4,56.3,49.43,71,ACTIVE
32,Bo Nix,QB,8,2,DEN,10,295.7,17.4,55.9,101.39,36,ACTIVE
33,Matthew Stafford,QB,9,2,LAR,11,292.8,17.2,53.0,91.97,45,ACTIVE
34,Brock Purdy,QB,10,2,SF,8,292.0,17.2,52.2,109.96,43,ACTIVE
35,Trevor Lawrence,QB,12,2,JAX,7,289.5,17.0,49.7,99.6,32,ACTIVE
36,Patrick Mahomes,QB,11,2,KC,5,291.0,17.1,51.2,108.34,58,QUESTIONABLE
37,Drake London,WR,7,4,ATL,11,167.7,9.9,46.8,20.02,27,ACTIVE
38,Dak Prescott,QB,13,2,DAL,14,286.1,16.8,46.3,73.06,34,ACTIVE
39,Rashee Rice,WR,8,4,KC,5,166.8,9.8,45.9,28.73,30,ACTIVE
40,Cam Skattebo,RB,19,3,NYG,8,182.8,10.8,44.5,45.08,72,ACTIVE
41,Justin Herbert,QB,14,2,LAC,7,283.6,16.7,43.8,87.97,52,ACTIVE
42,Davante Adams,WR,9,4,LAR,11,164.6,9.7,43.7,46.26,68,ACTIVE
43,Kyler Murray,QB,15,2,MIN,6,283.4,16.7,43.6,138.37,75,ACTIVE
44,A.J. Brown,WR,10,4,NE,11,163.8,9.6,42.9,21.43,47,ACTIVE
45,Caleb Williams,QB,16,2,CHI,10,281.9,16.6,42.1,90.86,50,ACTIVE
46,D'Andre Swift,RB,20,3,CHI,10,179.8,10.6,41.5,53.18,74,ACTIVE
47,Nico Collins,WR,11,4,HOU,8,161.5,9.5,40.6,25.81,31,ACTIVE
48,George Pickens,WR,12,4,DAL,14,159.4,9.4,38.5,28.49,63,ACTIVE
49,Chris Olave,WR,14,4,NO,8,158.6,9.3,37.7,29.65,48,ACTIVE
50,Emeka Egbuka,WR,13,4,TB,10,159.4,9.4,38.5,45.17,67,QUESTIONABLE
51,Malik Nabers,WR,15,4,NYG,8,158.6,9.3,37.7,34.68,49,QUESTIONABLE
52,Zay Flowers,WR,16,4,BAL,13,156.8,9.2,35.9,44.14,64,QUESTIONABLE
53,Bhayshul Tuten,RB,21,3,JAX,7,171.8,10.1,33.5,62.36,89,ACTIVE
54,Rome Odunze,WR,17,4,CHI,10,153.7,9.0,32.8,64.98,85,ACTIVE
55,Tetairoa McMillan,WR,18,4,CAR,5,152.9,9.0,32.0,42.01,65,ACTIVE
56,Bucky Irving,RB,22,3,TB,10,170.3,10.0,32.0,56.92,73,ACTIVE
57,David Montgomery,RB,23,3,HOU,8,168.1,9.9,29.8,62.43,90,ACTIVE
58,Jared Goff,QB,17,2,DET,6,269.1,15.8,29.3,136.29,100,ACTIVE
59,Garrett Wilson,WR,19,4,NYJ,13,150.0,8.8,29.1,37.14,62,ACTIVE
60,Jadarian Price,RB,24,3,SEA,11,167.0,9.8,28.7,68.35,91,ACTIVE
61,DeVonta Smith,WR,20,4,PHI,10,148.6,8.7,27.7,37.03,66,ACTIVE
62,Daniel Jones,QB,18,2,IND,13,266.6,15.7,26.8,159.69,102,ACTIVE
63,Tyler Shough,QB,19,2,NO,8,265.6,15.6,25.8,152.69,78,ACTIVE
64,Baker Mayfield,QB,20,2,TB,10,264.7,15.6,24.9,146.13,104,ACTIVE
65,Jordan Love,QB,21,2,GB,11,263.4,15.5,23.6,155.5,135,ACTIVE
66,Tee Higgins,WR,21,4,CIN,6,145.6,8.6,24.7,51.16,82,QUESTIONABLE
67,Jameson Williams,WR,22,4,DET,6,144.3,8.5,23.4,64.6,86,ACTIVE
68,Rhamondre Stevenson,RB,25,3,NE,11,160.9,9.5,22.6,79.48,98,ACTIVE
69,DJ Moore,WR,23,4,BUF,7,142.6,8.4,21.7,61.38,87,ACTIVE
70,Brock Bowers,TE,1,1,LV,13,142.2,8.4,21.3,23.98,42,ACTIVE
71,Rico Dowdle,RB,27,3,PIT,9,159.1,9.4,20.8,95.68,114,ACTIVE
72,Ladd McConkey,WR,24,4,LAC,7,141.4,8.3,20.5,46.34,69,ACTIVE
73,Terry McLaurin,WR,25,4,WSH,7,141.4,8.3,20.5,61.04,70,ACTIVE
74,TreVeyon Henderson,RB,26,3,NE,11,159.1,9.4,20.8,78.48,122,QUESTIONABLE
75,Tony Pollard,RB,28,3,TEN,9,155.8,9.2,17.5,90.09,123,ACTIVE
76,Jaylen Waddle,WR,26,4,DEN,10,136.5,8.0,15.6,52.36,84,ACTIVE
77,J.K. Dobbins,RB,29,3,DEN,10,153.4,9.0,15.1,112.5,166,ACTIVE
78,Courtland Sutton,WR,27,4,DEN,10,134.9,7.9,14.0,81.28,106,ACTIVE
79,Trey McBride,TE,2,1,ARI,14,133.9,7.9,13.0,22.56,28,ACTIVE
80,Christian Watson,WR,28,4,GB,11,132.8,7.8,11.9,89.87,117,ACTIVE
81,Kyle Monangai,RB,30,3,CHI,10,149.3,8.8,11.0,124.11,168,QUESTIONABLE
82,Luther Burden III,WR,29,4,CHI,10,131.1,7.7,10.2,75.64,88,QUESTIONABLE
83,DK Metcalf,WR,30,4,PIT,9,131.0,7.7,10.1,85.39,109,QUESTIONABLE
84,Jaylen Warren,RB,31,3,PIT,9,147.9,8.7,9.6,88.46,113,ACTIVE
85,Jonathon Brooks,RB,32,3,CAR,5,147.8,8.7,9.5,105.64,115,QUESTIONABLE
86,Carnell Tate,WR,31,4,TEN,9,127.7,7.5,6.8,77.11,99,QUESTIONABLE
87,C.J. Stroud,QB,22,3,HOU,8,246.1,14.5,6.3,165.35,138,ACTIVE
88,Colston Loveland,TE,4,1,CHI,10,126.0,7.4,5.1,42.66,80,ACTIVE
89,Tyler Warren,TE,3,1,IND,13,126.1,7.4,5.2,52.09,81,QUESTIONABLE
90,Jacory Croskey-Merritt,RB,33,3,WSH,7,143.0,8.4,4.7,135.82,169,QUESTIONABLE
91,Alec Pierce,WR,32,4,IND,13,125.5,7.4,4.6,108.54,112,QUESTIONABLE
92,Blake Corum,RB,34,3,LAR,11,142.6,8.4,4.3,126.72,178,ACTIVE
93,Marvin Harrison Jr.,WR,33,4,ARI,14,124.9,7.3,4.0,79.48,108,ACTIVE
94,Sam Darnold,QB,23,3,SEA,11,242.5,14.3,2.7,162.4,140,ACTIVE
95,Parker Washington,WR,35,4,JAX,7,123.5,7.3,2.6,90.2,111,ACTIVE
96,Mike Evans,WR,34,4,SF,8,123.5,7.3,2.6,85.32,118,QUESTIONABLE
97,Josh Jacobs,RB,35,3,GB,11,140.7,12.8,2.4,63.94,92,DAY_TO_DAY
98,Matthew Golden,WR,36,4,GB,11,120.9,7.1,0.0,111.53,119,ACTIVE
99,Jordan Mason,RB,36,3,MIN,6,138.3,8.1,0.0,139.17,177,ACTIVE
100,Malik Willis,QB,24,3,MIA,6,239.8,14.1,0.0,167.55,132,ACTIVE
101,Brian Thomas Jr.,WR,37,4,JAX,7,119.6,7.0,-1.3,113.64,120,QUESTIONABLE
102,Bryce Young,QB,25,3,CAR,5,238.1,14.0,-1.7,168.9,155,ACTIVE
103,Xavier Worthy,WR,38,4,KC,5,117.4,6.9,-3.5,129.83,162,ACTIVE
104,Chuba Hubbard,RB,37,3,CAR,5,134.7,7.9,-3.6,108.87,165,QUESTIONABLE
105,George Kittle,TE,5,1,SF,8,116.9,6.9,-4.0,75.87,129,QUESTIONABLE
106,Geno Smith,QB,26,3,NYJ,13,233.2,13.7,-6.6,170.06,200,ACTIVE
107,Aaron Jones Sr.,RB,38,3,MIN,6,130.7,7.7,-7.6,115.21,170,ACTIVE
108,Quentin Johnston,WR,39,4,LAC,7,112.6,6.6,-8.3,130.42,163,ACTIVE
109,Jakobi Meyers,WR,40,4,JAX,7,112.1,6.6,-8.8,122.35,127,QUESTIONABLE
110,Mark Andrews,TE,6,1,BAL,13,111.1,6.5,-9.8,126.2,152,ACTIVE
